LearningStyle,CareerGoal,Preferences,AcademicLevel,Module,Cours_Recommandé
Kinesthésique,Cybersecurity Expert,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,DevOps Engineer,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,Cloud Engineer,Sécurité,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,Systèmes embarqués,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Software Architect,Systèmes embarqués,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cybersecurity Expert,Sécurité,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Mathématiques,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Software Architect,IA,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cloud Engineer,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Auditif,Data Scientist,Programmation,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,IA,Licence 2,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,IA,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cybersecurity Expert,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Data Scientist,Sécurité,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,IA,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Mathématiques,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Data Scientist,Sécurité,Master 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,Mathématiques,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cybersecurity Expert,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Visuel,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Auditif,Data Scientist,Mathématiques,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Software Architect,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Visuel,Software Architect,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,Programmation,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Mathématiques,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,Software Architect,Mathématiques,Master 2,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,DevOps Engineer,Mathématiques,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Software Architect,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Data Scientist,IA,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,Programmation,Master 1,Développement Web,React.js et Node.js
Kinesthésique,Cloud Engineer,Sécurité,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,Systèmes embarqués,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Programmation,Master 1,Développement Web,React.js et Node.js
Auditif,Data Scientist,Systèmes embarqués,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cybersecurity Expert,Programmation,Licence 3,Développement Web,React.js et Node.js
Auditif,Cloud Engineer,Programmation,Master 2,Développement Web,React.js et Node.js
Kinesthésique,Data Scientist,Sécurité,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,Programmation,Licence 1,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Mathématiques,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Software Architect,Systèmes embarqués,Master 2,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,IA,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,Programmation,Licence 3,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,Programmation,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,DevOps Engineer,IA,Licence 2,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Mathématiques,Licence 1,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,IA,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,IA,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Programmation,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,Mathématiques,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Data Scientist,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Software Architect,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,IA,Licence 1,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Sécurité,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Sécurité,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Software Architect,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Kinesthésique,Cloud Engineer,Systèmes embarqués,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Sécurité,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Programmation,Licence 3,Développement Web,React.js et Node.js
Visuel,Software Architect,Mathématiques,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Software Architect,Programmation,Licence 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cloud Engineer,Sécurité,Licence 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,Cloud Engineer,Systèmes embarqués,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cybersecurity Expert,Mathématiques,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Programmation,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,DevOps Engineer,Programmation,Licence 1,Développement Web,React.js et Node.js
Kinesthésique,Cloud Engineer,Systèmes embarqués,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cloud Engineer,Sécurité,Licence 1,Développement Web,React.js et Node.js
Kinesthésique,DevOps Engineer,Sécurité,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cybersecurity Expert,Sécurité,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Cloud Engineer,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,Sécurité,Master 1,Développement Web,React.js et Node.js
Auditif,Data Scientist,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Software Architect,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,Software Architect,Mathématiques,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,IA,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,Mathématiques,Master 2,Développement Web,React.js et Node.js
Visuel,Data Scientist,Programmation,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cloud Engineer,Mathématiques,Master 2,Développement Web,React.js et Node.js
Lecture/Écriture,Software Architect,Mathématiques,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cloud Engineer,Programmation,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cloud Engineer,Sécurité,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Data Scientist,Programmation,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Sécurité,Licence 1,Développement Web,React.js et Node.js
Visuel,Cloud Engineer,Sécurité,Master 1,Développement Web,React.js et Node.js
Visuel,Cybersecurity Expert,Mathématiques,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,IA,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,Data Scientist,Systèmes embarqués,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Kinesthésique,DevOps Engineer,Systèmes embarqués,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,Cybersecurity Expert,Programmation,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,Cybersecurity Expert,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Data Scientist,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cybersecurity Expert,Mathématiques,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 2,Cloud Computing,AWS Solutions Architect
Kinesthésique,Data Scientist,Mathématiques,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,DevOps Engineer,Mathématiques,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cloud Engineer,Programmation,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Sécurité,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,IA,Master 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Sécurité,Licence 3,Développement Web,React.js et Node.js
Auditif,Data Scientist,IA,Master 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Cloud Engineer,Sécurité,Licence 3,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Data Scientist,Mathématiques,Licence 3,Cloud Computing,AWS Solutions Architect
Visuel,Data Scientist,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,Cloud Engineer,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Programmation,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Cybersecurity Expert,Programmation,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,Programmation,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Mathématiques,Master 2,Machine Learning,Deep Learning avec TensorFlow
Visuel,DevOps Engineer,Sécurité,Licence 1,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,IA,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,Software Architect,IA,Licence 1,Cloud Computing,AWS Solutions Architect
Visuel,Software Architect,IA,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Software Architect,Sécurité,Master 2,Développement Web,React.js et Node.js
Visuel,Data Scientist,Sécurité,Master 2,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,DevOps Engineer,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Data Scientist,Programmation,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Software Architect,Systèmes embarqués,Licence 3,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Mathématiques,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cybersecurity Expert,Sécurité,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,DevOps Engineer,IA,Licence 3,Cloud Computing,AWS Solutions Architect
Kinesthésique,Cloud Engineer,Sécurité,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Auditif,Cybersecurity Expert,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Auditif,Data Scientist,IA,Master 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,Cybersecurity Expert,IA,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Software Architect,IA,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cloud Engineer,IA,Licence 3,Développement Web,React.js et Node.js
Lecture/Écriture,Data Scientist,IA,Master 1,Cloud Computing,AWS Solutions Architect
Kinesthésique,DevOps Engineer,Mathématiques,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Systèmes embarqués,Licence 2,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cybersecurity Expert,Mathématiques,Licence 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Software Architect,Mathématiques,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Lecture/Écriture,DevOps Engineer,Systèmes embarqués,Licence 3,Développement Web,React.js et Node.js
Kinesthésique,DevOps Engineer,Mathématiques,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Lecture/Écriture,Cloud Engineer,Sécurité,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,DevOps Engineer,Systèmes embarqués,Master 2,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,DevOps Engineer,Mathématiques,Master 2,Cloud Computing,AWS Solutions Architect
Auditif,Data Scientist,Systèmes embarqués,Master 1,Développement Web,React.js et Node.js
Visuel,Software Architect,IA,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Auditif,Data Scientist,IA,Master 2,DevOps,CI/CD avec Docker et Kubernetes
Auditif,Data Scientist,Sécurité,Master 1,Développement Web,React.js et Node.js
Lecture/Écriture,Cloud Engineer,Systèmes embarqués,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,Programmation,Master 2,Machine Learning,Deep Learning avec TensorFlow
Auditif,DevOps Engineer,Sécurité,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Licence 1,DevOps,CI/CD avec Docker et Kubernetes
Auditif,DevOps Engineer,Sécurité,Master 1,Sécurité Informatique,Sécurité Offensive et Pentesting
Lecture/Écriture,Cybersecurity Expert,IA,Master 1,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,DevOps Engineer,Systèmes embarqués,Licence 2,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cloud Engineer,Sécurité,Master 1,Cloud Computing,AWS Solutions Architect
Visuel,DevOps Engineer,Systèmes embarqués,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Kinesthésique,Cybersecurity Expert,Systèmes embarqués,Licence 3,Sécurité Informatique,Sécurité Offensive et Pentesting
Visuel,Cybersecurity Expert,Programmation,Licence 1,Machine Learning,Deep Learning avec TensorFlow
Kinesthésique,Data Scientist,Mathématiques,Licence 3,DevOps,CI/CD avec Docker et Kubernetes
Visuel,Data Scientist,Mathématiques,Licence 2,Cloud Computing,AWS Solutions Architect
Auditif,Cybersecurity Expert,Mathématiques,Master 2,Cloud Computing,AWS Solutions Architect
Lecture/Écriture,Cybersecurity Expert,Systèmes embarqués,Master 2,Machine Learning,Deep Learning avec TensorFlow
